order_id,SKU,qty,x,y
124321,AB9XBU,2,,
124320,XUZJ74,3,,
124320,2OAVPY,2,,
124320,SMMRK3,2,,
124320,SMMRK3,1,,
124320,XUZJ74,1,,
124320,XUZJ74,3,,
124320,XUZJ74,2,,
124320,XUZJ74,1,,
124320,SMMRK3,2,,
124320,SMMRK3,1,,
124320,8N10W9,1,,
124320,2T1DJM,3,,
124320,AKP0A7,1,,
124320,AKP0A7,3,,
124320,0LNUOV,1,,
124320,0LNUOV,3,,
124320,I1KDJ0,2,,
124320,8N10W9,2,,
124320,W25EZN,3,,
124320,KTDZY0,2,,
124320,KTDZY0,4,,
124320,KTDZY0,1,,
124320,AKP0A7,5,,
124320,KZ5VR3,2,,
124320,0LNUOV,1,,
124320,5MNTT7,3,,
124320,X31OGS,1,,
124320,DSQXYR,12,,
124320,DSQXYR,12,,
124320,VHQ356,12,,
124320,VHQ356,12,,
124320,8N10W9,2,,
124320,8N10W9,1,,
124320,2T1DJM,2,,
124320,W25EZN,3,,
124320,W25EZN,1,,
124320,KTDZY0,1,,
124320,KTDZY0,1,,
124320,AKP0A7,3,,
124320,AKP0A7,1,,
124320,0LNUOV,1,,
124320,0LNUOV,1,,
124320,4E0KXI,2,,
124320,4E0KXI,1,,
124320,UDF17E,1,,
124320,UNPPMJ,1,,
124320,UNPPMJ,1,,
124320,AB9XBU,1,,
124319,8N10W9,1,,
124319,2T1DJM,1,,
124319,KTDZY0,1,,
124319,KTDZY0,1,,
124319,KTDZY0,1,,
124319,8D9SAW,1,,
124319,8D9SAW,1,,
124319,0LNUOV,1,,
124319,6M2FJM,1,,
124319,RUUOCB,1,,
124319,QTMT7N,1,,
124318,ZVUW6Z,2,,
124317,8E9F1P,1,,
124317,SMMRK3,1,,
124316,2OAVPY,2,,
124316,RAUDQ6,1,,
124315,8N10W9,1,,
124315,I1KDJ0,1,,
124315,I1KDJ0,1,,
124315,I1KDJ0,1,,
124315,WRRW1W,1,,
124314,XUZJ74,1,,
124314,U8203G,1,,
124314,U8203G,1,,
124314,U8203G,1,,
124314,2OAVPY,1,,
124314,2OAVPY,2,,
124314,2OAVPY,2,,
124314,2OAVPY,3,,
124314,2OAVPY,3,,
124314,2OAVPY,3,,
124314,2OAVPY,3,,
124314,2OAVPY,2,,
124314,2OAVPY,1,,
124313,32ZKOX,1,,
124313,32ZKOX,1,,
124313,I1KDJ0,2,,
124313,WRRW1W,2,,
124312,8N10W9,2,,
124312,CD1NU9,1,,
124312,5HQR89,2,,
124311,7BU1V7,3,,
124311,XUZJ74,3,,
124311,8N10W9,1,,
124311,8N10W9,1,,
124311,8N10W9,3,,
124311,AKP0A7,2,,
124311,WRRW1W,1,,
124311,8N10W9,2,,
124311,AKP0A7,2,,
124311,AKP0A7,3,,
124311,AKP0A7,2,,
124311,AKP0A7,4,,
124311,WRRW1W,2,,
124311,TNAHD4,2,,
124310,8N10W9,2,,
124310,8N10W9,2,,
124309,CD1NU9,1,,
124308,7BU1V7,2,,
124308,W25EZN,1,,
124308,W25EZN,2,,
124308,W25EZN,1,,
124308,W25EZN,1,,
124307,V7JUQL,2,,
124306,E5CISL,1,,
124306,E5CISL,1,,
124305,VHQ356,12,,
124304,69L9MX,1,,
124304,69L9MX,1,,
124303,K3YA1X,3,,
124302,EAJXUV,1,,
124302,EAJXUV,4,,
124301,CU53FM,1,,
124301,CU53FM,1,,
124300,05W6TK,3,,
124299,F29V5I,2,,
124299,F29V5I,2,,
124298,K3YA1X,2,,
124297,VHQ356,12,,
124297,VHQ356,12,,
124297,VHQ356,12,,
124297,SMMRK3,1,,
124297,SMMRK3,1,,
124297,8N10W9,1,,
124297,8N10W9,2,,
124297,2T1DJM,1,,
124297,2T1DJM,1,,
124297,NJVZEL,1,,
124297,NJVZEL,1,,
124297,1ENECA,1,,
124297,0LNUOV,1,,
124297,I1KDJ0,1,,
124297,I1KDJ0,1,,
124296,DGAONE,1,,
124295,37VA62,1,,
124294,KTDZY0,1,,
124294,KTDZY0,2,,
124294,KTDZY0,1,,
124294,KTDZY0,1,,
124294,KTDZY0,2,,
124294,KTDZY0,4,,
124294,KTDZY0,1,,
124294,KTDZY0,2,,
124294,KTDZY0,1,,
124293,SVFO5S,1,,
124292,8N10W9,1,,
124291,XUZJ74,1,,
124291,SMMRK3,1,,
124291,8N10W9,1,,
124291,U95NWB,1,,
124291,NJVZEL,1,,
124291,NJVZEL,1,,
124291,0LNUOV,1,,
124291,TNAHD4,1,,
124291,TNAHD4,1,,
124290,K3YA1X,1,,
124290,K3YA1X,2,,
124290,K3YA1X,2,,
124290,K3YA1X,2,,
124290,K3YA1X,2,,
124289,TBCCF7,1,,
124288,6M2FJM,1,,
124287,APQKWK,3,,
124286,K3YA1X,3,,
124286,F29V5I,1,,
124286,F29V5I,1,,
124286,F29V5I,3,,
124285,F29V5I,1,,
124284,RBKNR4,1,,
124284,RBKNR4,1,,
124283,SMMRK3,2,,
124283,SMMRK3,1,,
124283,SMMRK3,2,,
124283,TNAHD4,1,,
124283,TNAHD4,1,,
124283,JEGRCL,1,,
124282,U8203G,1,,
124281,XUZJ74,1,,
124281,XUZJ74,1,,
124281,SMMRK3,1,,
124281,SMMRK3,1,,
124281,SMMRK3,1,,
124281,8N10W9,1,,
124281,8N10W9,2,,
124281,8N10W9,2,,
124281,5P2MVG,1,,
124281,AKP0A7,1,,
124281,8D9SAW,1,,
124281,WGHG3L,1,,
124281,I1KDJ0,1,,
124281,8N10W9,3,,
124281,8N10W9,2,,
124281,8N10W9,1,,
124281,8N10W9,1,,
124281,U95NWB,1,,
124281,W25EZN,1,,
124281,W25EZN,1,,
124281,5P2MVG,1,,
124281,5P2MVG,1,,
124281,5P2MVG,1,,
124281,KTDZY0,2,,
124281,KTDZY0,1,,
124281,AKP0A7,1,,
124281,8D9SAW,1,,
124281,I1KDJ0,2,,
124281,I1KDJ0,1,,
124281,2Z7ZEP,1,,
124281,AX7BJ8,1,,
124281,O9YFO8,1,,
124281,8N10W9,1,,
124281,8N10W9,1,,
124281,U95NWB,1,,
124281,U95NWB,1,,
124281,U95NWB,1,,
124281,U95NWB,1,,
124281,U95NWB,1,,
124281,U95NWB,1,,
124281,U95NWB,1,,
124281,QVFB0Q,1,,
124281,IA7X1P,1,,
124281,5P2MVG,1,,
124281,KTDZY0,1,,
124281,1ENECA,1,,
124281,8D9SAW,1,,
124281,8D9SAW,1,,
124281,Q164T6,1,,
124281,DGAONE,1,,
124281,AX7BJ8,1,,
124281,O9YFO8,1,,
124281,O9YFO8,1,,
124281,O9YFO8,1,,
124280,8N10W9,1,,
124280,ZRCYSH,1,,
124280,8N10W9,1,,
124280,8N10W9,2,,
124280,8N10W9,1,,
124280,8N10W9,2,,
124280,ZRCYSH,1,,
124280,ZRCYSH,1,,
124280,5HQR89,1,,
124280,5HQR89,1,,
124280,5HQR89,1,,
124280,8D9SAW,1,,
124280,8D9SAW,1,,
124280,8D9SAW,1,,
124280,8D9SAW,2,,
124280,8D9SAW,1,,
124279,SMMRK3,2,,
124279,SMMRK3,1,,
124278,YKQY4X,2,,
124277,5P2MVG,1,,
124276,F7LULH,1,,
124275,SMMRK3,1,,
124275,SMMRK3,1,,
